会社名	ビジネスモデル名	ビジネスモデルの詳細
グラフィコ	多店舗展開ビジネス	グラフィコは、健康食品、化粧品、日用品、医薬品などの企画・販売を行う企業です。特に「オキシクリーン」の独占販売権を持ち、これが売上の大部分を占めています【8】【9】。
一蔵	その他	一蔵は、和装事業（着物販売、振袖レンタル）とウエディング事業を展開している企業です。特に振袖レンタルでは、付属品込みのパッケージを提供することで市場を拡大しています。また、自社製造小売（SPA）モデルも取り入れています【13】【14】【15】。
ケイアイスター不動産	多店舗展開ビジネス	ケイアイスター不動産は、住宅の販売を主とする企業で、広範囲に営業拠点を展開しています。住宅販売に特化した営業活動により、安定した成長を遂げています。
ソーシャルワイヤー	サブスクビジネス	ソーシャルワイヤーは、プレスリリース配信サービスやメディア運営を行う企業で、月額料金によるサブスクリプションモデルを採用しています。これにより、定期的かつ継続的な収益を確保しています。
ソネット・メディア・ネットワークス	サブスクビジネス	ソネット・メディア・ネットワークスは、デジタル広告の自動最適化プラットフォーム「Logicad」を提供しています。これは、広告主が毎月のサブスクリプション料金を支払い、ターゲット広告の効果を最大化するためのサービスです【22】。
プロパティエージェント	多店舗展開ビジネス	プロパティエージェントは、不動産投資クラウドファンディングや顔認証プラットフォームなど、DX（デジタルトランスフォーメーション）を活用した不動産関連サービスを展開しています。また、複数の不動産投資プロジェクトを通じて収益を上げています【26】【28】【29】。
マイネット	サブスクビジネス	マイネットは、スマートフォンゲームの運営を主に行っており、月額課金モデルを採用しています。これにより、ユーザーからの継続的な収益を確保しています。
ビジョン	サブスクビジネス	ビジョンは、モバイルWiFiルーターのレンタルサービス「グローバルWiFi」を提供しています。顧客は月額料金を支払い、国内外でインターネット接続を利用することができます。
アークン	サブスクビジネス	アークンは、クラウド型セキュリティサービスを提供しています。企業は月額料金を支払い、最新のセキュリティ対策を利用することができます。
フリュー	サブスクビジネス	ガールズトレンドビジネスを中心に、プリントシール機やスマートフォン向けアプリの開発を行い、エンドユーザーからの月額課金を得ることで継続的な収益を確保【24】【25】【27】。
アートグリーン	多店舗展開ビジネス	胡蝶蘭の生産・販売を軸に、全国の生産農家との連携や、自社農場での生産を通じて安定した供給を行う。種苗販売からリユース・リサイクル活動も展開【31】【32】【33】。
ミズホメディー	サブスクビジネス	体外診断用医薬品や医療機器の開発・販売を行い、感染症迅速診断システムや遺伝子解析装置などを提供。特に定期的な検査キットの需要に支えられている【39】【40】【41】【42】【43】。
オープンドア	その他	旅行情報の比較サイト「トラベルコ」を運営し、広告収入や提携旅行会社からの手数料を主な収益源とする【4】。
ツバキ・ナカシマ	その他	ベアリング用精密ボールや各種精密機器部品の製造・販売を行う。主に製造業向けのB2Bビジネスであり、定期的な部品供給による収益を確保【4】。
ダブルスタンダード	サブスクビジネス	ビッグデータとAI技術を活用し、データクレンジングやAI OCRなどのサービスを提供。ストック型収益が多く、継続的な収益を得ている【8】【9】【10】【11】。
ランドコンピュータ	営業人員依存型ビジネス	システムインテグレーションやパッケージベースSIサービスなどを提供し、主に金融、公共、医療分野の顧客に向けた受託開発を行っている【16】【17】【18】。
ラクス	サブスクビジネス	中小企業向けにクラウド型の経費精算や給与計算などのバックオフィス支援サービスを提供。これにより、定期的かつ継続的な収益を得ている【4】。
鎌倉新書	サブスクビジネス	葬儀や供養、終活に関連する情報提供やサービスをオンラインで提供し、定期的な収益を得ている【4】。
インベスターズクラウド	多店舗展開ビジネス	賃貸住宅の建築や管理を手掛け、全国にわたる拠点展開を進めている【4】。
いちごホテルリート投資法人	保証ビジネス	ホテル用不動産への投資を行い、安定性と成長性を両立した中長期運用を目指す。ホテル市場の変動に対応しつつ、安定した収益を確保【49】【50】【51】【52】。
ネオジャパン	サブスクビジネス	クラウド型のグループウェア「desknet's NEO」を提供し、SaaSモデルで定期的な収益を得ている。企業のDX推進をサポート【56】【57】【58】【59】【60】。
ベルシステム24ホールディングス	営業人員依存型ビジネス	コールセンター運営とBPOサービスを提供し、多くの営業人員を活用して収益を上げるモデル【4】。
ロゼッタ	サブスクビジネス	AI翻訳ソリューションや自動通訳システムを提供し、企業向けに継続的なサービス利用料を収益源としている【4】。
あんしん保証	保証ビジネス	賃貸住宅の家賃保証サービスを提供し、家賃滞納時の保証を行うことで安定した収益を得るモデル【4】。
日本郵政	多店舗展開ビジネス	郵便、物流、銀行、保険の4つの主要事業を全国の郵便局ネットワークを通じて提供。国際物流や新たな収益源の創出も進めている【84】【85】【86】【87】。
ゆうちょ銀行	サブスクビジネス	預金、投資信託、国債などの金融商品を提供し、預金利息や手数料で収益を得る。広範なATMネットワークと全国の郵便局を活用したサービス展開【91】【92】【93】。
かんぽ生命保険	保証ビジネス	全国の郵便局を通じて養老保険や終身保険などの簡易生命保険を提供。小口・簡易な商品構成と広範な顧客基盤を持つ【97】【98】【99】【100】。
バルニバービ	多店舗展開ビジネス	カフェやレストランの運営を中心に、多店舗展開を行い、飲食事業を通じて収益を上げる【4】。
パートナーエージェント	サブスクビジネス	結婚相談所の運営を中心に、定期的なサービス提供料を収益源とする。顧客との継続的な関係構築を重視【4】。
GMOメディア	サブスクビジネス	主に広告事業、プログラミング教育、美容医療サービスのサブスクリプションモデルを展開しており、安定した収益を目指している【8】【9】。
グリーンペプタイド	その他	現在はブライトパス・バイオ株式会社として知られ、がん免疫療法の開発に注力し、初期臨床試験から後期臨床試験にかけてライセンス収入を得るビジネスモデル【15】【16】。
AppBank	その他	モバイルゲーム関連のメディア運営やグッズ販売を主なビジネスとしており、オンライン広告やeコマースによる収益を上げている【8】。
ブランジスタ	サブスクビジネス	電子雑誌の定期購読サービスを提供し、電子出版を中心としたサブスクリプションビジネスを展開【8】。
ネットマーケティング	サブスクビジネス	主に婚活サービスを提供し、月額制のオンラインデーティングサービスを展開している【8】。
