yutori	その他	アパレル、小売、飲食業の要素が強く、継続的な収益が得られにくいビジネスモデル。
ナルネットコミュニケーションズ	営業人員依存型ビジネス	営業人員を増やすことで収益を増やしている。正社員が多く、短期間で戦力化する育成力がある。
早稲田学習研究会	多店舗展開ビジネス	全国に学習塾を展開しており、店舗数の増加により売上と利益を伸ばしている。
ヒューマンテクノロジーズ	サブスクビジネス	毎月料金を払い続けてもらうことで定期的かつ継続的に収益を得るビジネスモデル。業者の乗り換えハードルが高く、解約率が低い。
マーソ	その他	アパレル、小売、飲食業の要素が強く、継続的な収益が得られにくいビジネスモデル。
ナイル	営業人員依存型ビジネス	人材を増やすことで収益を増やしているビジネスモデル。短期間で戦力化できる育成力がある。
ロココ	サブスクビジネス	毎月あるいは毎年料金を払い続けてもらうことで定期的かつ継続的に収益を得るビジネスモデル。
エスネットワークス	多店舗展開ビジネス	多くの営業拠点を展開し、エリアを拡大していることで売上を伸ばしている。
雨風太陽	その他	アパレル、小売、飲食業の要素が強く、継続的な収益が得られにくいビジネスモデル。
魁力屋	多店舗展開ビジネス	ラーメンチェーンを展開しており、日本国内で多数の店舗を持つ。
S&J	その他	衛生管理や清掃サービスを提供する会社で、特に月次の継続的収益モデルではない。
ブルーイノベーション	その他	ドローンを用いたソリューション提供を行っており、特定の月次収益モデルには該当しない。
アウトルックコンサルティング	営業人員依存型ビジネス	コンサルティングサービスを提供しており、人材を増やすことで収益を拡大している。
QPS研究所	その他	人工衛星の開発・打ち上げサービスを提供しており、定期的な収益を得るビジネスモデルではない。
